"#","Name","Category","Sub-category","Type","Link","GitHub repo","GitHub ★","Maintenance","Pricing tier","Price / license","What it is","Why it 10x's you","Best for","Works with","Platform","Install / get started","Setup effort","Status","Pro tip / gotcha","Instagram hook","My notes"
"11","ECC (everything-claude-code)","01 · Claude Code Ecosystem","Config packs","Config collection","https://github.com/affaan-m/ECC","affaan-m/ECC","261,104","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","A battle-tested full Claude Code setup: agents, skills, hooks, commands, rules and MCP configs.","See how a power user wires everything together; steal the parts that fit.","People building their own setup","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Clone / install as plugin","Medium","🔍 Explore","Treat as a reference, not a preset. Your CLAUDE.md should stay yours.","Steal this Claude Code setup.",""
"12","claude-code-templates","01 · Claude Code Ecosystem","Config packs","CLI + templates","https://github.com/davila7/claude-code-templates","davila7/claude-code-templates","30,771","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","CLI that installs agents, commands, MCPs, hooks and settings into a project interactively, plus an analytics dashboard.","Bootstrap a new repo's .claude folder in one command.","People starting many projects","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx claude-code-templates@latest","Low","🚀 Add now","Great for your 'new product' checklist — same harness in every repo.","One command. Full Claude Code setup.",""
"13","claude-code-hooks-mastery","01 · Claude Code Ecosystem","Hooks","Reference repo","https://github.com/disler/claude-code-hooks-mastery","disler/claude-code-hooks-mastery","3,923","🟡 Slower · last commit february 2026","FREE (open source)","Open source","Worked examples of every Claude Code hook event (PreToolUse, PostToolUse, Stop, etc.).","Hooks are deterministic guardrails: block rm -rf, auto-format, run tests, notify on finish.","Devs who run long sessions","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Clone and copy hooks","Medium","🚀 Add now","A Stop hook that runs lint + tests is the cheapest quality gate you can add.","Hooks: the guardrails nobody sets up.",""
"14","ccusage","01 · Claude Code Ecosystem","Usage & cost","CLI tool","https://github.com/ccusage/ccusage","ccusage/ccusage","18,600","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Analyses local Claude Code logs to show token usage and cost per day / session / model.","You cannot optimise what you do not measure — see which projects burn your limits.","Subscription & API users","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx ccusage@latest","Low","🚀 Add now","Run `ccusage blocks --live` in a side pane during long runs.","Where do your Claude tokens actually go?",""
"15","Claude Code Usage Monitor","01 · Claude Code Ecosystem","Usage & cost","CLI tool","https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor","Maciek-roboblog/Claude-Code-Usage-Monitor","8,712","🟢 Active · last commit june 2026","FREE (open source)","Open source (MIT)","Real-time terminal monitor with burn-rate and predictions of when you will hit your limit.","Plan heavy tasks around the reset window instead of being cut off mid-refactor.","Max-plan power users","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","uv tool install claude-monitor","Low","🔍 Explore","Complements ccusage: this is live, ccusage is historical.","Know when you will hit the limit before you do.",""
"16","ccstatusline","01 · Claude Code Ecosystem","Status line","CLI tool","https://github.com/sirmalloc/ccstatusline","sirmalloc/ccstatusline","12,921","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Customisable status line for Claude Code: model, git branch, tokens, context %, session cost.","Context % on screen = you compact or /clear at the right time.","Daily Claude Code users","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx ccstatusline@latest","Low","🔍 Explore","Show context-window usage; it is the metric that matters most.","Your context window, always visible.",""
"17","claude-mem","01 · Claude Code Ecosystem","Memory","Plugin","https://github.com/thedotmack/claude-mem","thedotmack/claude-mem","94,120","🟢 Active · last commit yesterday","FREE (open source)","Open source (GitHub reports Apache-2.0)","Plugin that captures what Claude did in a session, compresses it and re-injects relevant context next time.","Persistent project memory without hand-maintaining notes.","Long-running projects","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","/plugin marketplace add thedotmack/claude-mem","Medium","🔍 Explore","Spec docs stay the source of truth; memory is a supplement.","Claude Code that remembers yesterday.",""
"18","Claude Agent SDK (Python)","01 · Claude Code Ecosystem","SDK","SDK","https://github.com/anthropics/claude-agent-sdk-python","anthropics/claude-agent-sdk-python","8,121","🟢 Active · last commit today","FREE (open source)","Open source (MIT) + API usage","The harness behind Claude Code as a library: tools, MCP, hooks, subagents, permissions.","Ship your own agent products for clients without rebuilding the agent loop.","AI product builders","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","pip install claude-agent-sdk","Medium","🚀 Add now","Start by wrapping an existing skill + MCP set as a headless agent.","Build your own Claude Code.",""
"19","Claude Agent SDK (TypeScript)","01 · Claude Code Ecosystem","SDK","SDK","https://github.com/anthropics/claude-agent-sdk-typescript","anthropics/claude-agent-sdk-typescript","1,759","🟢 Active · last commit today","FREE (open source)","Open source + API usage","TypeScript version of the Agent SDK.","Same harness inside Node / Workers-style backends.","TS product builders","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npm i @anthropic-ai/claude-agent-sdk","Medium","🔍 Explore","Good fit for internal ops agents.","Agents as a dependency.",""
"20","Claude Code GitHub Action","01 · Claude Code Ecosystem","CI","GitHub Action","https://github.com/anthropics/claude-code-action","anthropics/claude-code-action","8,896","🟢 Active · last commit today","FREE (open source)","Open source + API/subscription usage · GitHub license: MIT","Run Claude Code in GitHub Actions: @claude in issues/PRs to implement, review or fix.","Async work: open an issue from your phone, get a PR back.","Solo devs with many repos","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","/install-github-app inside Claude Code","Medium","🚀 Add now","Restrict allowed tools in the workflow file.","@claude, fix this. From your phone.",""
"21","claude-code-router","01 · Claude Code Ecosystem","Routing","Proxy","https://github.com/musistudio/claude-code-router","musistudio/claude-code-router","37,288","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Routes Claude Code requests to other providers/models (OpenRouter, DeepSeek, Ollama, Gemini...).","Use cheap or local models for background tasks while keeping the Claude Code UX.","Cost-sensitive devs, local-LLM users","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npm i -g @musistudio/claude-code-router","Medium","🔍 Explore","Quality drops on weaker models — route only simple tasks.","Claude Code, any model.",""
"22","SuperClaude Framework","01 · Claude Code Ecosystem","Config frameworks","Config framework","https://github.com/SuperClaude-Org/SuperClaude_Framework","SuperClaude-Org/SuperClaude_Framework","23,897","🟢 Active · last commit last tuesday","FREE (open source)","Open source (MIT)","Adds a layer of slash commands, personas and modes on top of Claude Code.","Ready-made structure if you do not want to design your own commands.","People who like presets","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","See repo (pipx install)","Medium","🔍 Explore","Heavy on context. Prefer a few sharp skills over a big framework.","Claude Code with personas.",""
"23","Ruflo (formerly claude-flow)","01 · Claude Code Ecosystem","Config frameworks","Orchestration framework","https://github.com/ruvnet/ruflo","ruvnet/ruflo","72,704","🟢 Active · last commit yesterday","FREE (open source)","Open source (MIT)","Multi-agent swarm orchestration layered on Claude Code.","Experiment with agent swarms and shared memory.","Agent-orchestration tinkerers","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx claude-flow@alpha init","High","🔍 Explore","Impressive demos, high complexity. Validate on a toy repo first.","A swarm of Claudes.",""
"24","Refero design skill","01 · Claude Code Ecosystem","Design skills","Skill","https://github.com/referodesign/refero_skill","referodesign/refero_skill","267","🟢 Active · last commit september 2026","FREE (open source)","Open source; Refero account needed for MCP · GitHub license: MIT","Research-first design skill that pulls real product screens/flows from Refero before designing.","UI grounded in shipped products instead of model guesswork.","Frontend devs who care about taste","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx skills add referodesign/refero_skill","Low","🚀 Add now","Ask it to cite the references it used.","Design from real apps, not vibes.",""
"25","Vercel agent-skills","01 · Claude Code Ecosystem","Skills","Skill collection","https://github.com/vercel-labs/agent-skills","vercel-labs/agent-skills","31,280","🟢 Active · last commit august 2026","FREE (open source)","Open source","Vercel's skills: React/Next.js best practices, web design guidelines, deploy helpers.","A quality pass that encodes Vercel's own performance and a11y rules.","Next.js / Vercel users","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx skills add vercel-labs/agent-skills","Low","🚀 Add now","Run the web-design-guidelines skill as a review step before shipping UI.","Vercel's frontend rules, as a skill.",""
"26","skills CLI (npx skills)","01 · Claude Code Ecosystem","Skills","CLI tool","https://github.com/vercel-labs/skills","vercel-labs/skills","31,874","🟢 Active · last commit today","FREE (open source)","Open source · GitHub license: MIT","Package-manager style CLI to add agent skills from any GitHub repo to Claude Code, Cursor, Codex and others.","One install command across every agent you use.","Multi-agent users","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx skills add <owner>/<repo>","Low","🚀 Add now","Commit installed skills to the repo so collaborators get them too.","npm install, but for agent skills.",""
"27","Claude Code best practices (official docs)","01 · Claude Code Ecosystem","Guides","Guide","https://code.claude.com/docs/en/best-practices","","","—","FREE (closed source)","Free","Anthropic's own playbook: CLAUDE.md, explore-plan-code-commit, TDD loop, multi-Claude workflows.","The 20 minutes of reading that change how you use the tool.","Everyone","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Read","Low","🚀 Add now","Explore → plan → code → commit is spec-driven development in miniature.","Read this before your next prompt.",""
"28","Anthropic: Agent Skills explained","01 · Claude Code Ecosystem","Guides","Guide","https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills","","","—","FREE (closed source)","Free","Engineering post explaining how skills work: progressive disclosure, SKILL.md, bundled scripts.","Understand the mechanism and you can write skills that actually trigger.","Skill authors","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Read","Low","🚀 Add now","The description field decides whether your skill ever fires.","How skills really work.",""
"29","GitHub Spec Kit","02 · Spec-Driven Development & Planning","SDD frameworks","Framework + CLI","https://github.com/github/spec-kit","github/spec-kit","137,572","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","GitHub's spec-driven toolkit: constitution → specify → plan → tasks → implement, as slash commands.","A shared structure for spec docs, so the agent always knows which phase it is in.","Greenfield products","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","uvx --from git+https://github.com/github/spec-kit.git specify init <project>","Medium","🚀 Add now","Write the constitution once per company, not per repo.","Stop vibe coding. Start spec coding.",""
"30","OpenSpec","02 · Spec-Driven Development & Planning","SDD frameworks","Framework + CLI","https://github.com/Fission-AI/OpenSpec","Fission-AI/OpenSpec","68,863","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Lightweight spec framework built around change proposals and spec deltas.","Best fit for existing codebases: each change gets a proposal, tasks and a spec diff.","Brownfield projects","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","npm install -g @fission-ai/openspec@latest  →  openspec init","Low","🚀 Add now","Archive completed changes so specs stay the living truth.","Specs for code that already exists.",""
"31","BMAD-METHOD","02 · Spec-Driven Development & Planning","SDD frameworks","Framework","https://github.com/bmad-code-org/BMAD-METHOD","bmad-code-org/BMAD-METHOD","53,138","🟢 Active · last commit last tuesday","FREE (open source)","Open source (MIT)","Agile AI team in a box: analyst, PM, architect, scrum master, dev and QA agents passing documents.","Forces PRD + architecture before code; strong on big, ambiguous products.","Large greenfield builds","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","npx bmad-method install","High","🔍 Explore","Heavy ceremony. Overkill for a weekend feature.","An entire agile team. All AI.",""
"32","Task Master","02 · Spec-Driven Development & Planning","Task planning","CLI + MCP","https://github.com/eyaltoledano/claude-task-master","eyaltoledano/claude-task-master","28,081","🟡 Slower · last commit april 2026","FREE (open source)","Open source (MIT + Commons Clause)","Parses a PRD into a dependency-ordered task graph that agents work through.","Bridges spec → execution: the agent always knows the next unblocked task.","PRD-first builders","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","npm install -g task-master-ai","Medium","🚀 Add now","Feed it your spec doc as the PRD; regenerate tasks when the spec changes.","PRD in. Task graph out.",""
"33","Agent OS","02 · Spec-Driven Development & Planning","SDD frameworks","Framework","https://github.com/buildermethods/agent-os","buildermethods/agent-os","5,423","🟢 Active · last commit august 2026","FREE (open source)","Open source (MIT)","System for capturing your standards, product context and specs so agents build 'your way'.","Codifies house style once; every repo inherits it.","Freelancers with repeatable stacks","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","See repo install script","Medium","🔍 Explore","Most valuable if you ship many similar client projects.","Teach the agent how YOU build.",""
"34","ai-dev-tasks","02 · Spec-Driven Development & Planning","Task planning","Prompt templates","https://github.com/snarktank/ai-dev-tasks","snarktank/ai-dev-tasks","7,787","🟠 Quiet · last commit november 2025","FREE (open source)","Open source · GitHub license: Apache-2.0","Three markdown files: create-PRD, generate-tasks, process-task-list.","The minimal spec-driven workflow — no framework, just files.","Minimalists","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","Copy the .md files into your repo","Low","🔍 Explore","A great starting point before adopting Spec Kit.","Spec-driven dev in 3 files.",""
"35","context-engineering-intro","02 · Spec-Driven Development & Planning","Context engineering","Template repo","https://github.com/coleam00/context-engineering-intro","coleam00/context-engineering-intro","13,838","🟡 Slower · last commit march 2026","FREE (open source)","Open source (MIT)","Template and guide for the PRP (Product Requirements Prompt) workflow.","Shows how to pack examples, docs and validation gates into one executable prompt.","Devs formalising their prompts","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","Clone as template","Low","🔍 Explore","The 'validation gates' idea is the part worth stealing.","Prompting is dead. Context is king.",""
"36","12-Factor Agents","02 · Spec-Driven Development & Planning","Principles","Guide","https://github.com/humanlayer/12-factor-agents","humanlayer/12-factor-agents","26,122","🟠 Quiet · last commit september 2025","FREE (open source)","Open source","Twelve principles for building LLM apps reliable enough for production.","Own your prompts, own your context window, small focused agents — cures most agent-framework pain.","Agent builders","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","Read","Low","🚀 Add now","Factor 3 (own your context window) is the one to internalise.","12 rules for agents that do not break.",""
"37","Kiro","02 · Spec-Driven Development & Planning","SDD IDEs","IDE","https://kiro.dev","","","—","FREEMIUM","Free tier; paid plans (verify current pricing)","AWS's agentic IDE built around requirements → design → tasks specs and hooks.","Spec-driven development as the default UI rather than a convention.","Devs who prefer a GUI","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","Download from site","Low","🔍 Explore","Worth a look to borrow its spec format even if you stay in the terminal.","An IDE that makes you write the spec first.",""
"38","Anthropic: Effective context engineering","02 · Spec-Driven Development & Planning","Context engineering","Guide","https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents","","","—","FREE (closed source)","Free","Anthropic's essay on curating what goes into the context window: compaction, notes, sub-agents, just-in-time retrieval.","The theory behind why spec docs + small contexts beat giant prompts.","Everyone building with agents","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","Read","Low","🚀 Add now","Context is a finite budget — treat every token as a cost.","Context is a budget. Spend it well.",""
"39","vibe-kanban","03 · Parallel Agents & Orchestration","Parallel agents","Desktop/web app","https://github.com/BloopAI/vibe-kanban","BloopAI/vibe-kanban","28,112","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Kanban board that runs coding agents on tasks in isolated git worktrees with review and merge.","Run several products or features in parallel and review diffs like a tech lead. Works on Windows.","Solo devs juggling many products","Claude Code, Codex, Gemini CLI, OpenCode, Amp","Windows / macOS / Linux","npx vibe-kanban","Low","🚀 Add now","One task = one worktree = one small PR. Keep tasks spec-sized.","I run 4 AI devs at once. Here is the board.",""
"40","Claude Squad","03 · Parallel Agents & Orchestration","Parallel agents","TUI","https://github.com/smtg-ai/claude-squad","smtg-ai/claude-squad","8,488","🟢 Active · last commit august 2026","FREE (open source)","Open source (AGPL-3.0)","Terminal app managing multiple agent sessions in tmux + git worktrees.","Lightweight parallelism for terminal people.","tmux users","Claude Code, Codex, Gemini CLI, OpenCode, Amp","macOS / Linux / WSL2","brew install claude-squad (Windows: via WSL)","Medium","🔍 Explore","Needs tmux, so on Windows run it inside WSL2.","A squad of Claudes in one terminal.",""
"41","Crystal","03 · Parallel Agents & Orchestration","Parallel agents","Desktop app","https://github.com/stravu/crystal","stravu/crystal","3,119","🟡 Slower · last commit february 2026","FREE (open source)","Open source (MIT)","Desktop app for running multiple Claude Code / Codex sessions in parallel worktrees and comparing results.","Try the same task several ways, keep the best.","Devs who compare approaches","Claude Code, Codex, Gemini CLI, OpenCode, Amp","macOS (others: see repo)","Download release","Low","🔍 Explore","Check the repo for current platform support and project status.","Same prompt. 3 attempts. Keep the winner.",""
"42","Conductor","03 · Parallel Agents & Orchestration","Parallel agents","Desktop app","https://conductor.build","","","—","FREE (closed source)","Free (verify)","Mac app that runs a team of Claude Code agents in isolated workspaces.","Polished UI for parallel agents.","Mac users","Claude Code, Codex, Gemini CLI, OpenCode, Amp","macOS only","Download","Low","🔍 Explore","macOS only — on Windows use vibe-kanban.","Conduct your agents.",""
"43","HumanLayer / CodeLayer","03 · Parallel Agents & Orchestration","Parallel agents","IDE + SDK","https://github.com/humanlayer/humanlayer","humanlayer/humanlayer","11,562","🟢 Active · last commit june 2026","FREE (open source)","Open source (Apache-2.0)","Tooling for orchestrating coding agents on hard problems in large codebases, with human approvals.","Research → plan → implement workflow with human-in-the-loop checkpoints.","Complex codebases","Claude Code, Codex, Gemini CLI, OpenCode, Amp","Windows / macOS / Linux","See repo","Medium","🔍 Explore","Their 'advanced context engineering' write-up is worth reading on its own.","Keep a human in the loop.",""
"44","Codex CLI","04 · AI Coding Agents & IDEs","Terminal agents","CLI coding agent","https://github.com/openai/codex","openai/codex","124,940","🟢 Active · last commit today","FREE (open source)","Open source CLI (Apache-2.0); usage via ChatGPT plan or API","OpenAI's terminal coding agent, written in Rust, with sandboxing and MCP support.","A strong second opinion: run the same spec through Codex and diff the result.","Devs who want a GPT-based agent","Standalone","Windows / macOS / Linux","npm i -g @openai/codex","Low","🔍 Explore","Reads AGENTS.md — keep one instructions file and symlink/copy for each agent.","Claude's rival lives in your terminal too.",""
"45","Gemini CLI","04 · AI Coding Agents & IDEs","Terminal agents","CLI coding agent","https://github.com/google-gemini/gemini-cli","google-gemini/gemini-cli","107,034","🟢 Active · last commit last tuesday","FREE (open source)","Open source (Apache-2.0); generous free tier with a Google account","Google's open-source terminal agent with a very large context window.","Free tier + huge context = ideal for whole-repo questions and bulk analysis.","Budget-conscious devs","Standalone","Windows / macOS / Linux","npm i -g @google/gemini-cli","Low","🚀 Add now","Use it as the 'reader' (big context) and Claude Code as the 'writer'.","A free coding agent with a giant context window.",""
"46","OpenCode","04 · AI Coding Agents & IDEs","Terminal agents","CLI coding agent","https://github.com/anomalyco/opencode","anomalyco/opencode","208,123","🟢 Active · last commit today","FREE (open source)","Open source (MIT); bring your own key","Provider-agnostic open-source terminal agent with a polished TUI; works with 75+ providers including local models.","Keeps you independent of any single vendor; pairs with Ollama for private work.","Local-LLM and multi-provider users","Standalone","Windows / macOS / Linux","npm i -g opencode-ai","Low","🚀 Add now","Best open-source option for NDA/private codebases with local models.","The open-source Claude Code.",""
"47","Aider","04 · AI Coding Agents & IDEs","Terminal agents","CLI coding agent","https://github.com/Aider-AI/aider","Aider-AI/aider","49,022","🟡 Slower · last commit may 2026","FREE (open source)","Open source (Apache-2.0); BYO key","Git-native AI pair programmer: every change is a commit, with a repo map for context.","Surgical edits with a clean git history; cheap because it sends little context.","Git purists","Standalone","Windows / macOS / Linux","python -m pip install aider-install && aider-install","Low","🔍 Explore","Architect/editor mode: a strong model plans, a cheap model edits.","Every AI edit = one clean commit.",""
"48","Cline","04 · AI Coding Agents & IDEs","IDE agents","VS Code extension","https://github.com/cline/cline","cline/cline","68,646","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0); BYO key","Autonomous coding agent inside VS Code with plan/act modes and step-by-step approval.","Full transparency of every file edit and command.","VS Code users who want control","Standalone","Windows / macOS / Linux","Install from VS Code marketplace","Low","🔍 Explore","Watch API spend — it sends large contexts.","An agent that asks before it acts.",""
"49","Kilo Code","04 · AI Coding Agents & IDEs","IDE agents","VS Code extension","https://github.com/Kilo-Org/kilocode","Kilo-Org/kilocode","27,343","🟢 Active · last commit today","FREE (open source)","Open source; BYO key or credits · GitHub license: MIT","Open-source agent extension combining ideas from Cline and Roo Code with many model options.","Active alternative in the Cline family.","VS Code / JetBrains users","Standalone","Windows / macOS / Linux","Install from marketplace","Low","🔍 Explore","Pick ONE IDE agent; they overlap heavily.","The open agent for your IDE.",""
"50","Roo Code","04 · AI Coding Agents & IDEs","IDE agents","VS Code extension","https://github.com/RooCodeInc/Roo-Code","RooCodeInc/Roo-Code","24,300","⚠ Archived (read-only)","FREE (open source)","Open source (Apache-2.0)","Cline fork with custom modes (architect, debug, ask).","Custom 'modes' are a nice way to scope agent behaviour.","VS Code users","Standalone","Windows / macOS / Linux","Install from marketplace","Low","🔍 Explore","⚠ Repo archived by its owner on 15 May 2026 (read-only). Kilo Code and Cline are the living alternatives.","Roo Code is archived. Here is where users went.",""
