"Rank","Name","Why it is a top pick","Category","Pricing tier","GitHub ★","Link","Install / get started","Instagram hook"
"11","shadcn MCP","Real components with correct props. Removes the #1 cause of broken AI UI.","06 · MCP Servers & Connectors","FREE (open source)","","https://ui.shadcn.com/docs/mcp","npx shadcn@latest mcp init --client claude","No more hallucinated components."
"12","n8n-MCP","Claude designs, validates and deploys n8n workflows.","06 · MCP Servers & Connectors","FREE (open source)","22,908","https://github.com/czlonkowski/n8n-mcp","npx n8n-mcp","I let Claude build my n8n workflows."
"13","ccusage","See where your tokens go. You cannot optimise what you do not measure.","01 · Claude Code Ecosystem","FREE (open source)","18,600","https://github.com/ccusage/ccusage","npx ccusage@latest","Where do your Claude tokens actually go?"
"14","vibe-kanban","Parallel agents in isolated worktrees, reviewed like a tech lead. Works on Windows.","03 · Parallel Agents & Orchestration","FREE (open source)","28,112","https://github.com/BloopAI/vibe-kanban","npx vibe-kanban","I run 4 AI devs at once. Here is the board."
"15","WSL2","Most AI tooling assumes Linux. One command removes the friction on Windows.","18 · Dev Productivity & Terminal (Windows-aware)","FREE (open source)","33,722","https://github.com/microsoft/WSL","wsl --install","Windows devs: you are one command from Linux."
"16","Coolify","Your own PaaS on a cheap VPS: every product and client app, one dashboard.","16 · DevOps, Self-Hosting & Deployment","FREE (open source)","61,933","https://github.com/coollabsio/coolify","curl -fsSL https://cdn.coollabs.io/coolify/install.sh | sudo bash","I cancelled my hosting bills. Here is how."
"17","Ollama","The base layer of private, offline AI.","11 · Local LLMs & Inference","FREE (open source)","181,252","https://github.com/ollama/ollama","winget install Ollama.Ollama  →  ollama run llama3.2","ChatGPT, offline, on your laptop."
"18","Open WebUI","A private ChatGPT for a client in an afternoon.","11 · Local LLMs & Inference","FREE (open source)","152,387","https://github.com/open-webui/open-webui","docker run -d -p 3000:8080 -v open-webui:/app/backend/data --name open-webui ghcr.io/open-webui/open-webui:main","A private ChatGPT for your company."
"19","LiteLLM","One endpoint for local + cloud models, with per-client budgets.","09 · Agent Frameworks & LLM Libraries","FREE (open source)","58,998","https://github.com/BerriAI/litellm","pip install 'litellm[proxy]'","One API for every LLM."
"20","Unsloth","Fine-tuning on a single consumer GPU or free Colab.","12 · Fine-Tuning & Training","FREE (open source)","76,302","https://github.com/unslothai/unsloth","pip install unsloth","Fine-tune an LLM on a free GPU."
"21","Docling","Messy PDFs to structured Markdown, locally. The heart of document AI.","13 · RAG, Memory, Vector DBs & Document Parsing","FREE (open source)","66,551","https://github.com/docling-project/docling","pip install docling","PDFs to clean Markdown, locally."
"22","Firecrawl","Any website to LLM-ready data.","14 · Web Scraping & Data for AI","FREE (open source)","181,607","https://github.com/firecrawl/firecrawl","pip install firecrawl-py","Any website to clean data."
"23","Langfuse","Traces, costs and evals for every LLM call you ship.","15 · Evals, Observability & Guardrails","FREE (open source)","34,728","https://github.com/langfuse/langfuse","git clone → docker compose up","X-ray vision for your LLM app."
"24","Remotion","Video as React code. Content series generated from data.","21 · Content Creation & AI Creative Tools","FREE (open source)","59,659","https://github.com/remotion-dev/remotion","npx create-video@latest","I code my Instagram videos."
"25","Building Effective Agents (Anthropic)","15 minutes that prevent months of over-engineering.","24 · Learning & Becoming a Better Engineer","FREE (closed source)","","https://www.anthropic.com/engineering/building-effective-agents","Open & start","The most important agent essay. 15 minutes."
