"#","Name","Category","Sub-category","Type","Link","GitHub repo","GitHub ★","Maintenance","Pricing tier","Price / license","What it is","Why it 10x's you","Best for","Works with","Platform","Install / get started","Setup effort","Status","Pro tip / gotcha","Instagram hook","My notes"
"39","21st.dev Magic MCP","06 · MCP Servers & Connectors","UI generation","MCP server","https://github.com/21st-dev/magic-mcp","21st-dev/magic-mcp","5,881","🟢 Active · last commit september 2026","FREE (open source)","Open source server; 21st.dev API freemium · GitHub license: ISC","Generates polished React/Tailwind components inside the IDE from a /ui prompt, drawing on the 21st.dev library.","Production-looking components without leaving the terminal.","Frontend devs","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","See repo (npx @21st-dev/magic)","Low","🚀 Add now","Ask for variants, pick one, then refine in your design system.","/ui build me a pricing section.",""
"40","shadcn MCP","06 · MCP Servers & Connectors","UI generation","MCP server","https://ui.shadcn.com/docs/mcp","","","—","FREE (open source)","Open source (MIT)","Official server to browse, search and install components from shadcn and any compatible registry.","The agent installs real components with correct props instead of hallucinating them.","React / Next.js devs","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","npx shadcn@latest mcp init --client claude","Low","🚀 Add now","Add third-party registries in components.json for instant access.","No more hallucinated components.",""
"41","MCP Inspector","07 · MCP Tooling & Registries","Debugging","Dev tool","https://github.com/modelcontextprotocol/inspector","modelcontextprotocol/inspector","10,902","🟢 Active · last commit yesterday","FREE (open source)","Open source (MIT)","Visual tester for MCP servers: list tools, call them, inspect responses.","Debug your server before blaming the model.","MCP authors","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","npx @modelcontextprotocol/inspector","Low","🚀 Add now","Test every tool description here first.","Postman for MCP.",""
"42","FastMCP","07 · MCP Tooling & Registries","Building servers","Framework","https://github.com/PrefectHQ/fastmcp","PrefectHQ/fastmcp","27,712","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","The Pythonic way to build MCP servers and clients: decorators, auth, deployment, testing.","Wrap any client API or internal tool as an MCP server in minutes.","Python devs selling automations","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","pip install fastmcp","Low","🚀 Add now","Fewer, higher-level tools beat mirroring every API endpoint.","Build an MCP server in 10 lines.",""
"43","Docker MCP Toolkit / Gateway","07 · MCP Tooling & Registries","Runtime","Tooling","https://github.com/docker/mcp-gateway","docker/mcp-gateway","1,570","🟢 Active · last commit yesterday","FREE (open source)","Open source; included in Docker Desktop · GitHub license: MIT","Run MCP servers as isolated containers behind one gateway, with a curated catalog.","Sandboxed servers + secrets management = safer than npx-ing random packages.","Security-minded devs","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","Enable MCP Toolkit in Docker Desktop","Low","🚀 Add now","One gateway entry in your client config replaces many.","Run MCP servers in a sandbox.",""
"44","agent-browser (Vercel Labs)","08 · Browser Automation & Computer Use","Agent browser CLIs","CLI tool","https://github.com/vercel-labs/agent-browser","vercel-labs/agent-browser","42,814","🟢 Active · last commit yesterday","FREE (open source)","Open source (Apache-2.0)","Fast native browser-automation CLI designed for agents: snapshot the page into refs, then click/fill by ref.","A CLI (not MCP) means tiny token cost per action and it works with any agent that can run shell.","Agent-driven testing & scraping","Claude Code, any agent, Python/TS scripts","Windows / macOS / Linux","npm install -g agent-browser  →  agent-browser install","Low","🚀 Add now","Install its skill so the agent knows the commands.","A browser built for AI, not humans.",""
"45","Playwright","08 · Browser Automation & Computer Use","Testing frameworks","Framework","https://github.com/microsoft/playwright","microsoft/playwright","96,274","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Cross-browser automation and E2E testing with auto-waiting, tracing and codegen; now ships test agents (planner, generator, healer).","The E2E standard. Agents can write and self-heal the tests.","Anyone shipping web apps","Claude Code, any agent, Python/TS scripts","Windows / macOS / Linux","npm init playwright@latest","Low","🚀 Add now","Record with codegen, then let the agent generalise the test.","Tests that write and heal themselves.",""
"46","browser-use","08 · Browser Automation & Computer Use","Agent frameworks","Python library","https://github.com/browser-use/browser-use","browser-use/browser-use","114,946","🟢 Active · last commit last tuesday","FREE (open source)","Open source (MIT) + paid cloud","Makes websites accessible to LLM agents: give a goal, it drives the browser.","Automate portals and back-offices that have no API.","Automation freelancers","Claude Code, any agent, Python/TS scripts","Windows / macOS / Linux","pip install browser-use","Medium","🚀 Add now","Reliability rises sharply with narrow tasks + structured output.","Give an LLM a browser and a goal.",""
"47","Vercel AI SDK","09 · Agent Frameworks & LLM Libraries","TypeScript","Framework","https://github.com/vercel/ai","vercel/ai","26,904","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","TypeScript toolkit for LLM apps: unified provider API, streaming, tools, structured output, agents, UI hooks.","One API across every provider; the default choice for Next.js / Workers AI features.","TS full-stack devs","Python / TypeScript apps; most support local models","Windows / macOS / Linux","npm i ai","Low","🚀 Add now","generateObject + Zod = reliable structured output.","One SDK. Every model.",""
"48","Cloudflare Agents SDK","09 · Agent Frameworks & LLM Libraries","TypeScript","Framework","https://github.com/cloudflare/agents","cloudflare/agents","5,590","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Build stateful agents on Durable Objects: persistent state, scheduling, WebSockets, remote MCP servers.","Agents that live at the edge and cost nothing when idle.","Cloudflare builders","Python / TypeScript apps; most support local models","Windows / macOS / Linux","npm create cloudflare@latest -- --template cloudflare/agents-starter","Medium","🚀 Add now","Also the easiest way to host a remote MCP server with auth.","Agents that sleep for free.",""
